Bond Name,ISIN,Date,Maturity Date,YTM
CANADA 23/28,CA135087Q491,2025-01-15,2028-09-01,0.03137453610493559
CANADA 23/28,CA135087Q491,2025-01-17,2028-09-01,0.02977621806853496
CANADA 23/28,CA135087Q491,2025-01-13,2028-09-01,0.031187490481733082
CANADA 23/28,CA135087Q491,2025-01-08,2028-09-01,0.02985587202063166
CANADA 23/28,CA135087Q491,2025-01-09,2028-09-01,0.02998868443326611
CANADA 23/28,CA135087Q491,2025-01-07,2028-09-01,0.029457885079676893
CANADA 23/28,CA135087Q491,2025-01-06,2028-09-01,0.02956394725303654
CANADA 23/28,CA135087Q491,2025-01-10,2028-09-01,0.030387592457031178
CDA 18/29,CA135087J397,2025-01-17,2029-06-01,0.029112192190059994
CDA 18/29,CA135087J397,2025-01-16,2029-06-01,0.02940349651394233
CDA 18/29,CA135087J397,2025-01-14,2029-06-01,0.03133161200170271
CDA 18/29,CA135087J397,2025-01-13,2029-06-01,0.030524003646799636
CDA 18/29,CA135087J397,2025-01-15,2029-06-01,0.0307194964360649
CDA 18/29,CA135087J397,2025-01-09,2029-06-01,0.029184980613526788
CDA 18/29,CA135087J397,2025-01-08,2029-06-01,0.028990935503896177
CDA 18/29,CA135087J397,2025-01-07,2029-06-01,0.02850662312208746
CDA 18/29,CA135087J397,2025-01-06,2029-06-01,0.028603393738243665
CDA 18/29,CA135087J397,2025-01-10,2029-06-01,0.02974388009680177
CANADA 22/29,CA135087N670,2025-01-16,2029-12-01,0.03071311956693989
CANADA 22/29,CA135087N670,2025-01-06,2029-12-01,0.029871010331767107
CANADA 22/29,CA135087N670,2025-01-07,2029-12-01,0.029804684111916
CANADA 22/29,CA135087N670,2025-01-08,2029-12-01,0.030269434793915643
CANADA 22/29,CA135087N670,2025-01-09,2029-12-01,0.030446784959280777
CANADA 22/29,CA135087N670,2025-01-10,2029-12-01,0.030646503188010196
CANADA 22/29,CA135087N670,2025-01-13,2029-12-01,0.03171526500693194
CANADA 22/29,CA135087N670,2025-01-14,2029-12-01,0.0325881340619699
CANADA 22/29,CA135087N670,2025-01-15,2029-12-01,0.03198340907197878
CANADA 22/29,CA135087N670,2025-01-17,2029-12-01,0.03042460545929022
